id,koordinat_x_before,koordinat_y_before
3489,107.523,-6.88674
3490,107.523,-6.88685
3491,107.523,-6.88703
3492,107.523,-6.88727
3493,107.523,-6.88739
3494,107.522,-6.8875
3495,107.522,-6.88763
3496,107.522,-6.88768
3497,107.522,-6.88803
3498,107.522,-6.88809
3499,107.522,-6.88814
3500,107.522,-6.88821
3501,107.522,-6.88832
3502,107.522,-6.88843
3503,107.522,-6.88849
3504,107.522,-6.88858
3505,107.521,-6.88878
3506,107.521,-6.88892
3507,107.521,-6.88898
3508,107.521,-6.88902
3509,107.521,-6.88907
3510,107.521,-6.88918
3511,107.521,-6.88942
3512,107.521,-6.88964
3513,107.521,-6.88966
3514,107.521,-6.88971
3515,107.521,-6.88896
3516,107.521,-6.88875
3517,107.521,-6.88851
3518,107.521,-6.88845
3519,107.521,-6.88836
3520,107.521,-6.88829
3521,107.521,-6.88822
3522,107.522,-6.88815
3523,107.522,-6.88809
3524,107.522,-6.88808
3525,107.522,-6.88802
3526,107.522,-6.88794
3527,107.523,-6.88714
3528,107.523,-6.88638
3529,107.523,-6.88664
3530,107.523,-6.88682
3531,107.523,-6.88701
3532,107.523,-6.88725
3533,107.523,-6.88734
3534,107.523,-6.88746
3535,107.522,-6.88756
3536,107.522,-6.88763
3537,107.522,-6.88805
3538,107.522,-6.8881
3539,107.522,-6.88816
3540,107.522,-6.88823
3541,107.522,-6.8883
3542,107.522,-6.88839
3543,107.522,-6.88845
3544,107.522,-6.88851
3545,107.521,-6.88868
3546,107.521,-6.88885
3547,107.521,-6.88898
3548,107.521,-6.88902
3549,107.521,-6.88909
3550,107.521,-6.88915
3551,107.521,-6.88928
3552,107.521,-6.88951
3553,107.521,-6.88965
3554,107.521,-6.88972
3555,107.519,-6.89309
3556,107.521,-6.88878
3557,107.521,-6.8888
3558,107.521,-6.88851
3559,107.521,-6.88845
3560,107.521,-6.88836
3561,107.521,-6.88835
3562,107.522,-6.88826
3563,107.522,-6.88819
3564,107.522,-6.88815
3565,107.522,-6.88811
3566,107.522,-6.88804
3567,107.522,-6.8875
3568,107.523,-6.88706
3569,107.518,-6.89779
3570,107.515,-6.8972
3571,107.515,-6.89717
3572,107.515,-6.89716
3573,107.515,-6.89717
3574,107.517,-6.89699
3575,107.517,-6.89703
3576,107.517,-6.89706
3577,107.517,-6.89726
3578,107.518,-6.89775
3579,107.515,-6.89715
3580,107.515,-6.89714
3581,107.515,-6.89712
3582,107.517,-6.89698
3583,107.517,-6.89699
3584,107.517,-6.89703
3585,107.517,-6.89721
3586,107.552,-6.86896
3587,107.552,-6.86897
3588,107.552,-6.86906
3589,107.552,-6.86907
3590,107.552,-6.86915
3591,107.552,-6.86916
3592,107.552,-6.86929
3593,107.552,-6.86937
3594,107.553,-6.86944
3595,107.553,-6.86948
3596,107.553,-6.86969
3597,107.553,-6.86973
3598,107.553,-6.86988
3599,107.553,-6.86986
3600,107.554,-6.87009
3601,107.554,-6.87091
3602,107.554,-6.87094
3603,107.554,-6.87099
3604,107.554,-6.87106
3605,107.555,-6.8712
3606,107.555,-6.87126
3607,107.555,-6.87168
3608,107.555,-6.8717
3609,107.555,-6.87174
3610,107.555,-6.87184
3611,107.555,-6.8719
3612,107.555,-6.87222
3613,107.555,-6.87234
3614,107.555,-6.87242
3615,107.555,-6.87265
3616,107.555,-6.87272
3617,107.555,-6.87132
3618,107.554,-6.87112
3619,107.554,-6.87107
3620,107.554,-6.87099
3621,107.554,-6.87033
3622,107.554,-6.87026
3623,107.554,-6.87016
3624,107.553,-6.87011
3625,107.553,-6.87002
3626,107.553,-6.86997
3627,107.553,-6.8698
3628,107.553,-6.86976
3629,107.553,-6.86959
3630,107.553,-6.86954
3631,107.552,-6.86944
3632,107.552,-6.8694
3633,107.552,-6.86938
3634,107.552,-6.86903
3635,107.552,-6.86904
3636,107.552,-6.8691
3637,107.552,-6.86911
3638,107.552,-6.86912
3639,107.552,-6.86921
3640,107.552,-6.86923
3641,107.552,-6.86939
3642,107.553,-6.86941
3643,107.553,-6.86951
3644,107.553,-6.86953
3645,107.553,-6.86977
3646,107.553,-6.86979
3647,107.553,-6.86991
3648,107.553,-6.86997
3649,107.554,-6.8701
3650,107.554,-6.87019
3651,107.554,-6.87023
3652,107.554,-6.87031
3653,107.554,-6.8709
3654,107.554,-6.87094
3655,107.554,-6.871
3656,107.554,-6.87108
3657,107.555,-6.87111
3658,107.555,-6.87113
3659,107.555,-6.87121
3660,107.555,-6.87161
3661,107.555,-6.87167
3662,107.555,-6.87169
3663,107.555,-6.87172
3664,107.555,-6.87178
3665,107.555,-6.87189
3666,107.555,-6.87201
3667,107.555,-6.87229
3668,107.555,-6.87239
3669,107.555,-6.87251
3670,107.555,-6.87264
3671,107.555,-6.87129
3672,107.555,-6.87127
3673,107.554,-6.87112
3674,107.554,-6.87104
3675,107.554,-6.87097
3676,107.554,-6.87038
3677,107.554,-6.8703
3678,107.554,-6.87021
3679,107.554,-6.87015
3680,107.553,-6.87006
3681,107.553,-6.86999
3682,107.553,-6.86988
3683,107.553,-6.86977
3684,107.553,-6.86962
3685,107.553,-6.86955
3686,107.552,-6.86946
3687,107.552,-6.86944
3688,107.552,-6.86939
3689,107.545,-6.8684
3690,107.545,-6.86832
3691,107.545,-6.86827
3692,107.545,-6.86818
3693,107.545,-6.86807
3694,107.546,-6.86767
3695,107.546,-6.86756
3696,107.546,-6.86711
3697,107.547,-6.86689
3698,107.547,-6.86664
3699,107.547,-6.86634
3700,107.547,-6.86627
3701,107.547,-6.86613
3702,107.548,-6.86601
3703,107.548,-6.86562
3704,107.548,-6.86548
3705,107.548,-6.86533
3706,107.549,-6.86546
3707,107.55,-6.86558
3708,107.55,-6.86568
3709,107.551,-6.86538
3710,107.551,-6.86522
3711,107.551,-6.8647
3712,107.552,-6.86427
3713,107.552,-6.86363
3714,107.552,-6.86275
3715,107.552,-6.8627
3716,107.551,-6.86267
3717,107.551,-6.86253
3718,107.551,-6.86244
3719,107.55,-6.86214
3720,107.549,-6.86182
3721,107.549,-6.86173
3722,107.549,-6.86172
3723,107.549,-6.86157
3724,107.549,-6.86141
3725,107.548,-6.86133
3726,107.548,-6.86127
3727,107.548,-6.86114
3728,107.548,-6.86106
3729,107.548,-6.86099
3730,107.547,-6.86087
3731,107.547,-6.86085
3732,107.547,-6.86061
3733,107.547,-6.86059
3734,107.546,-6.8607
3735,107.546,-6.86095
3736,107.546,-6.86096
3737,107.545,-6.86109
3738,107.545,-6.86113
3739,107.545,-6.861
3740,107.546,-6.86088
3741,107.546,-6.86086
3742,107.546,-6.86069
3743,107.546,-6.86063
3744,107.546,-6.86062
3745,107.546,-6.86062
3746,107.546,-6.86058
3747,107.547,-6.86052
3748,107.547,-6.86052
3749,107.547,-6.86074
3750,107.548,-6.86084
3751,107.548,-6.86092
3752,107.548,-6.86098
3753,107.548,-6.86099
3754,107.548,-6.86101
3755,107.548,-6.86122
3756,107.549,-6.86137
3757,107.549,-6.86141
3758,107.549,-6.86149
3759,107.549,-6.8615
3760,107.55,-6.86181
3761,107.55,-6.862
3762,107.55,-6.86201
3763,107.551,-6.86244
3764,107.552,-6.86255
3765,107.552,-6.86271
3766,107.552,-6.86284
3767,107.552,-6.8632
3768,107.552,-6.86324
3769,107.552,-6.8633
3770,107.552,-6.86338
3771,107.552,-6.86346
3772,107.552,-6.86361
3773,107.552,-6.86371
3774,107.552,-6.86373
3775,107.552,-6.86431
3776,107.552,-6.86453
3777,107.551,-6.86477
3778,107.551,-6.86524
3779,107.551,-6.86525
3780,107.551,-6.86553
3781,107.55,-6.86568
3782,107.549,-6.86555
3783,107.549,-6.86545
3784,107.549,-6.8653
3785,107.548,-6.86543
3786,107.548,-6.86562
3787,107.548,-6.86573
3788,107.548,-6.86586
3789,107.548,-6.86613
3790,107.548,-6.86623
3791,107.547,-6.86638
3792,107.547,-6.86643
3793,107.547,-6.86649
3794,107.547,-6.8666
3795,107.547,-6.86664
3796,107.547,-6.86686
3797,107.547,-6.86716
3798,107.547,-6.86719
3799,107.546,-6.86757
3800,107.546,-6.8678
3801,107.545,-6.86824
3802,107.545,-6.86826
3803,107.545,-6.86827
3804,107.545,-6.86829
3805,107.545,-6.86841
3806,107.545,-6.86843
3807,107.545,-6.86838
3808,107.545,-6.86832
3809,107.545,-6.86824
3810,107.545,-6.86814
3811,107.546,-6.86807
3812,107.546,-6.86764
3813,107.546,-6.86717
3814,107.547,-6.86693
3815,107.547,-6.86684
3816,107.547,-6.86642
3817,107.547,-6.86631
3818,107.547,-6.86622
3819,107.548,-6.86606
3820,107.548,-6.86595
3821,107.548,-6.86552
3822,107.548,-6.86538
3823,107.549,-6.86545
3824,107.55,-6.86555
3825,107.55,-6.8656
3826,107.55,-6.86558
3827,107.551,-6.86529
3828,107.551,-6.86501
3829,107.551,-6.86443
3830,107.552,-6.86395
3831,107.552,-6.86303
3832,107.552,-6.86275
3833,107.552,-6.86268
